date,meeting_title,action,motion
"Aug 28, 2018 (Tue)",August Board Business Meeting,12.2 CBRE Heery Contract Amendment,"It is recommended that the Shelby County Board of Education amend the current CBRE Heery Inc. contract in the amount of $125,026 to develop and manage the construction plan to prepare the Bayer location for eventual occupancy and a provide a recommended administration building consolidation plan. The original contract was $98,866.25 plus the amended amount of $125,026 for a total contract value of $223,892.25.

Motion by Miska Clay Bibbs, second by Scott McCormick.
Final Resolution: Motion Passes
Affirmative: Miska Clay Bibbs, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel
Not Present at Vote: Shante Avant, Kevin Woods"
"Aug 28, 2018 (Tue)",August Board Business Meeting,12.3 RESOLUTION RATIFYING THE EXCESSING OF CERTAIN ADDITIONAL EMPLOYEES AND APPROVING THE EXCESSING OF CERTAIN ADDITIONAL EMPLOYEES,"It is recommended that the Shelby County Board of Education adopts the RESOLUTION RATIFYING THE EXCESSING OF CERTAIN ADDITIONAL EMPLOYEES AND APPROVING THE EXCESSING OF CERTAIN ADDITIONAL EMPLOYEES.

Motion by Scott McCormick, second by Miska Clay Bibbs.
Final Resolution: Motion Fails
Affirmative: Miska Clay Bibbs, Stephanie P Love, Scott McCormick, Billy Orgel
Negative: Teresa Jones
Abstain: Mike Kernell
Not Present at Vote: Shante Avant, Kevin Woods"
"Aug 28, 2018 (Tue)",August Board Business Meeting,12.4 CDC Grant: Promoting Adolescent Health through School-Based HIV Prevention and Surveillance,"It is recommended that the Shelby County Board of Education accepts a 5-year $360,000 (annually) grant for the CDC-RFA-PS18-1807: Promoting Adolescent Health through School-Based HIV Prevention and Surveillance.

Motion by Mike Kernell, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Miska Clay Bibbs, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel
Not Present at Vote: Shante Avant, Kevin Woods"
"Aug 28, 2018 (Tue)",August Board Business Meeting,12.5 Preschool Development Grant (VPK),"It is recommended that the SCS Board of Education accepts Voluntary Pre-K state funds in the amount $10,854,355.46 to manage full implementation of education services in 112 Pre-K classrooms in 81 school based sites and 31 community partner sites for the 2018-2019 school year. The recommendation is aligned with a mandate by TNDOE to ensure high quality Pre-K programs across the state.

Motion by Scott McCormick, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Miska Clay Bibbs, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel
Not Present at Vote: Shante Avant, Kevin Woods"
"Aug 28, 2018 (Tue)",August Board Business Meeting,12.6 PowerSchool Meeting-Daily Attendance Sync,"It is recommended that the Shelby County Board of Education approves the payment to PowerSchool Group, LLC for the attendance sync customization in the amount of $25,725.00. The Power School customization is to calculate attendance automatically depending on the periods a student attends during the day. For example, if a student is present for 4/7 periods, a student would automatically be calculated as ""present"" whereas if a student was present for 3/7 periods, a student would automatically calculated as ""absent."" This was the SMS method of calculating student absences and was requested by principals and other central office administrators in an effort to automatize some of the processes related to Power School.

Motion by Scott McCormick, second by Teresa Jones.
Final Resolution: Motion Passes
Affirmative: Miska Clay Bibbs, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel
Not Present at Vote: Shante Avant, Kevin Woods"
"Aug 28, 2018 (Tue)",August Board Business Meeting,12.7 MATA,"It is recommended that the Shelby County Board of Education approves payments to the Memphis Area Transit Authority (MATA) payments to the Memphis Area Transit Authority not to exceed a total of $162,000 for bus cards issued to students in Innovative Schools and other non-traditional schools for transportation during the 2018-2019 school year.

Motion by Miska Clay Bibbs, second by Scott McCormick.
Final Resolution: Motion Passes
Affirmative: Miska Clay Bibbs, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel
Not Present at Vote: Shante Avant, Kevin Woods"
"Aug 21, 2018 (Tue)",Special Called Meeting,6.1 Charter School Applications (denial),"It is recommended that the Shelby County School Board of Education approves the Superintendent’s recommendation for the denial of charter school applications.

Motion by Scott McCormick, second by Kevin Woods.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Aug 21, 2018 (Tue)",Special Called Meeting,6.2 Division of Charter School Motion and Vote by School,"It is recommended that the Shelby County Board of Education divides the Charter School Motion and Vote by individual school application.

Motion by Mike Kernell, second by Miska Clay Bibbs.
Final Resolution: Motion Fails
Affirmative: Miska Clay Bibbs, Mike Kernell, Stephanie P Love
Negative: Shante Avant, Teresa Jones, Scott McCormick, Billy Orgel, Kevin Woods"
"Aug 21, 2018 (Tue)",Special Called Meeting,6.3 Charter School Applications (approval),"It is recommended that the Shelby County School Board of Education approves the Superintendent’s recommendation for the approval of charter school applications.

Motion by Scott McCormick, second by Teresa Jones.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Teresa Jones, Scott McCormick, Billy Orgel, Kevin Woods
Negative: Miska Clay Bibbs, Mike Kernell, Stephanie P Love"
"Jul 31, 2018 (Tue)",July Board Business Meeting,5.1 Approval of Agenda,"It is recommended that the Shelby County Board of Education approves the agenda of the July 31, 2018, Business Meeting.

Motion by Shante Avant, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Kevin Woods
Not Present at Vote: Billy Orgel"
"Jul 31, 2018 (Tue)",July Board Business Meeting,"7.1 Approval of the Minutes of the June 26, 2018, Business Meeting","It is recommended that the Shelby County Board of Education approves the minutes of the June 26, 2018, Business Meeting.

Motion by Kevin Woods, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Scott McCormick, Billy Orgel, Kevin Woods
Not Present at Vote: Stephanie P Love"
"Jul 31, 2018 (Tue)",July Board Business Meeting,"7.2 Approval of the Minutes of the July 24, 2018, Work Session","It is recommended that the Shelby County Board of Education approves the minutes of the July 24, 2018, Work Session.

Motion by Shante Avant, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Scott McCormick, Billy Orgel, Kevin Woods
Not Present at Vote: Stephanie P Love"
"Jul 31, 2018 (Tue)",July Board Business Meeting,9.1 Proposed Policies - Second Reading,"It is recommended that the Shelby County Board of Education adopts the proposed policies.

Motion by Chris Caldwell, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,11.1 Approval of Consent Agenda,"It is recommended that the Shelby County Board of Education approves the July 31, 2018 Consent Agenda.

Motion by Chris Caldwell, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,11.2 SCS K-5 Science Textbook Adoption,"It is recommended that the Shelby County Board of Education approves the July 31, 2018 Consent Agenda.

Motion by Chris Caldwell, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,11.3 VPK/PDG/Fund One Community Partners,"It is recommended that the Shelby County Board of Education approves the July 31, 2018 Consent Agenda.

Motion by Chris Caldwell, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,"11.4 MOU: New Leaders, Inc.","It is recommended that the Shelby County Board of Education approves the July 31, 2018 Consent Agenda.

Motion by Chris Caldwell, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,11.5 New Goodlett Elementary School,"It is recommended that the Shelby County Board of Education approves the July 31, 2018 Consent Agenda.

Motion by Chris Caldwell, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,11.6 Fire Alarm Project (6 Locations),"It is recommended that the Shelby County Board of Education approves the July 31, 2018 Consent Agenda.

Motion by Chris Caldwell, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,11.7 Purchase Of (4) Refrigerated Trucks,"It is recommended that the Shelby County Board of Education approves the July 31, 2018 Consent Agenda.

Motion by Chris Caldwell, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,11.8 Bread Requirements for the 2018-2019 School Year,"It is recommended that the Shelby County Board of Education approves the July 31, 2018 Consent Agenda.

Motion by Chris Caldwell, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,11.9 Refrigerated Yogurt Items for the 2018-2019 School Year,"It is recommended that the Shelby County Board of Education approves the July 31, 2018 Consent Agenda.

Motion by Chris Caldwell, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,11.10 Milk and Refrigerated Juice for the 2018-2019 School Year,"It is recommended that the Shelby County Board of Education approves the July 31, 2018 Consent Agenda.

Motion by Chris Caldwell, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,11.11 Canned And Pouched Fruit and Vegetable Items (July-December 2018),"It is recommended that the Shelby County Board of Education approves the July 31, 2018 Consent Agenda.

Motion by Chris Caldwell, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,11.12 Commercial Food Items for the 2018-2019 School Year,"It is recommended that the Shelby County Board of Education approves the July 31, 2018 Consent Agenda.

Motion by Chris Caldwell, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,11.13 2018-2019 (1st Quarter: Aug-Nov 2018) Produce - FFVP,"It is recommended that the Shelby County Board of Education approves the July 31, 2018 Consent Agenda.

Motion by Chris Caldwell, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,11.14 2018-19 (1st QTR Aug-Nov 2018) Produce-Direct to School,"It is recommended that the Shelby County Board of Education approves the July 31, 2018 Consent Agenda.

Motion by Chris Caldwell, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,12.1 Resolution to Approve the Purchase of Property at 3030 Jackson Avenue,"It is recommended that the Shelby County Board of Education approves the Resolution to Approve the Purchase of Property at 3030 Jackson Avenue in the amount of $6,000,000.00 plus closing costs, for a total of $6,624,648.00, and authorize the execution of the related transaction documents.

Motion by Billy Orgel, second by Kevin Woods.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods
Abstain: Mike Kernell"
"Jul 31, 2018 (Tue)",July Board Business Meeting,12.2 Written Charges Directed to Tenured Teacher,"It is recommended that the Shelby County Board of Education approves the authorized the issuance Written Charges Directed to a Tenured Teacher for Vetrea Brenton.

Motion by Kevin Woods, second by Scott McCormick.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jul 31, 2018 (Tue)",July Board Business Meeting,12.3 Written Charges Directed to Tenured Teacher (Stitt),"It is recommended that the Shelby County Board of Education approves the authorized the issuance Written Charges Directed to a Tenured Teacher for Mavis Stitt.

Motion by Scott McCormick, second by Billy Orgel.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Mike Kernell, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods"
"Jun 26, 2018 (Tue)",June Board Business Meeting,5.1 Approval of Agenda,"It is recommended that the Shelby County Board of Education approves the agenda of the June 26, 2018, Board Business Meeting.

Motion by Teresa Jones, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,"7.1 Approval of the Minutes of the May 29, 2018, Business Meeting","It is recommended that the Shelby County Board of Education approves the minutes of the May 29, 2018, Business Meeting.

Motion by Chris Caldwell, second by Scott McCormick.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,"7.2 Approval of the minutes of the June 6, 2018, Special Called Meeting.","It is recommended that the Shelby County Board of Education approves the minutes of the June 6, 2018, Special Called Meeting.

Motion by Chris Caldwell, second by Scott McCormick.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,"7.3 Approval of the Minutes of the June 11, 2018, Special Called Meeting","It is recommended that the Shelby County Board of Education approves the minutes of the June 11, 2018, Special Called Meeting.

Motion by Chris Caldwell, second by Scott McCormick.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,"7.4 Approval of the Minutes of the June 19, 2018, Work Session","It is recommended that the Shelby County Board of Education approves the minutes of the June 19, 2018, Work Session.

Motion by Chris Caldwell, second by Scott McCormick.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,9.1 Proposed Policy Revisions - SECOND READING,"It is recommended that the Shelby County Board of Education approves the proposed policy revisions.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick
Negative: Chris Caldwell"
"Jun 26, 2018 (Tue)",June Board Business Meeting,9.2 Youth Violence Intervention Initiative,"It is recommended that the Shelby County Board of Education approves the youth violence intervention initiative and prevention programs in the amount not to exceed $722,280.00.

Motion by Scott McCormick, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.1 Approval of Consent Agenda,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.2 MOU: Middle College High School and Christian Brothers University,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.3 Transition School to Work (TSW) Grant 2017-2018,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.4 Transition School to Work (TSW) Grant 2018-2019,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.5 Engineering Services A2H Inc. HVAC Piping Replacement - Sheffield HS,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.6 Head Start Carryover Grant,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,"11.7 Contracts: Cleverex Systems, Inc. Head Start Management Software","It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.8 Pre-K Curriculum Purchase,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,"11.9 Classroom Furniture, Supplies, & Materials for 15 New Classrooms","It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.10 Phase 1 of 2018 Playground Installation Project,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.11 VPK Playground Installation Project,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.12 PDG Playground Installation Project,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.13 Education Solutions Development,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.14 Longview Middle School Demolition Project,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.15 Riverview K-8 Gymnasium Wood Floor Replacement,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.16 Maxine Smith STEAM Academy/ Middle College High School Gymnasium Wood Floor Replacement,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.17 Alcy Elementary School Demolition Project,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.18 School Cafeteria Redesign - Kirby & Whitehaven High,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.19 White Station HS Improvements,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.20 Resolution to Fund Deficits in Internal School Fund Accounts,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.21 Consolidated Funding Application,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,11.22 Shelby County Sheriff Office- School Resource Officers,"It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,"11.23 Cameras, Servers, License, Card Access Systems","It is recommended that the Shelby County Board of Education approves the June 26, 2018 Consent Agenda.

Motion by Stephanie P Love, second by Miska Clay Bibbs.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,12.1 Contracts: Porter-Leath,"It is recommended that the Shelby Countv School Board of Education approves the Porter-Leath contract to manage 291 classrooms for the 2018-2019 school year.

Motion by Chris Caldwell, second by Scott McCormick.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,12.2 Charter School Applications,"It is recommended that the Shelby County Board of Education approves the Superintendent's recommendation for charter school applications.

Motion by Chris Caldwell, second by Scott McCormick.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,12.4 Resolution Approving The Shelby County Board Of Education's Fiscal Year 2018-2019 Budget,"It is recommended that the Shelby County Board of Education approves the Resolution Approving The Shelby County Board Of Education's Fiscal Year 2018-2019 Budget.

Motion by Scott McCormick, second by Teresa Jones.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
"Jun 26, 2018 (Tue)",June Board Business Meeting,12.5 Resolution to Approve Capital Improvement Projects for Fiscal Year 2018-2019,"It is recommended that the Shelby County Board of Education adopts the Fiscal Year 2018 - 2019 Budget.

Motion by Scott McCormick, second by Teresa Jones.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Chris Caldwell, Teresa Jones, Mike Kernell, Stephanie P Love, Scott McCormick"
